"time","exp","weibull","gompertz","lognormal","loglogit","gengamma"
0,1,1,1,1,1,1
0.1,0.999762935293221,0.999982946395627,0.99983290294317,0.999999999999802,0.999999013878409,0.999967785271153
0.2,0.999525926786117,0.999957516620938,0.999665810643248,0.999999999982732,0.999996738369233,0.999924912946195
0.3,0.999288974465365,0.999927540290802,0.999498723103971,0.999999999803026,0.999993433643033,0.999876818786178
0.4,0.999052078317645,0.999894168808163,0.999331640329076,0.999999998978276,0.999989212101732,0.999824985366063
0.5,0.998815238329642,0.999858022071557,0.9991645623223,0.99999999650201,0.999984144570968,0.999770181314268
0.6,0.99857845448804,0.999819498209457,0.998997489087379,0.99999999072018,0.999978281830216,0.999712887518229
0.7,0.998341726779531,0.999778878529219,0.998830420628051,0.999999979265554,0.999971662965793,0.999653436922514
0.8,0.998105055190806,0.999736374262162,0.998663356948055,0.99999995903506,0.999964319465862,0.999592075393087
0.9,0.997868439708563,0.999692150892091,0.998496298051128,0.99999992619672,0.999956277519174,0.999528992831816
1,0.997631880319499,0.999646342191707,0.998329243941008,0.999999876216061,0.999947559427458,0.999464340863124
1.1,0.997395377010317,0.999599058942847,0.998162194621433,0.999999803894771,0.999938184531592,0.999398243682662
1.2,0.997158929767723,0.99955039466586,0.997995150096143,0.999999703416512,0.999928169849662,0.999330805105762
1.3,0.996922538578425,0.999500429553007,0.997828110368875,0.999999568396402,0.999917530533945,0.999262113358337
1.4,0.996686203429135,0.999449233266365,0.997661075443369,0.999999391931783,0.999906280208629,0.999192244454148
1.5,0.996449924306569,0.999396866987143,0.997494045323363,0.99999916665267,0.999894431225949,0.999121264648189
1.6,0.996213701197443,0.999343384954041,0.997327020012598,0.999998884770825,0.99988199486472,0.999049232264491
1.7,0.995977534088479,0.999288835642499,0.997159999514812,0.999998538126786,0.999868981487109,0.998976199087459
1.8,0.995741422966401,0.999233262685132,0.996992983833746,0.99999811823446,0.999855400664426,0.99890221144078
1.9,0.995505367817938,0.999176705601573,0.99682597297314,0.999997616323036,0.999841261279479,0.998827311037718
2,0.995269368629819,0.999119200385253,0.996658966936733,0.999997023376162,0.999826571610886,0.998751535660816
2.1,0.995033425388778,0.999060779980992,0.996491965728266,0.999996330168352,0.999811339403286,0.998674919712138
2.2,0.994797538081553,0.999001474678014,0.996324969351479,0.999995527298716,0.999795571926384,0.99859749466374
2.3,0.994561706694883,0.998941312436547,0.996157977810114,0.999994605222071,0.999779276025035,0.998519289430215
2.4,0.994325931215511,0.998880319161683,0.995990991107912,0.999993554277592,0.999762458162069,0.998440330679619
2.5,0.994090211630184,0.998818518934851,0.995824009248613,0.999992364715105,0.999745124455165,0.998360643095127
2.6,0.993854547925652,0.998755934210933,0.995657032235959,0.999991026719184,0.999727280708825,0.998280249596899
2.7,0.993618940088667,0.998692585987242,0.995490060073692,0.99998953043118,0.999708932442249,0.998199171531521
2.8,0.993383388105984,0.998628493949291,0.995323092765553,0.999987865969331,0.999690084913777,0.99811742883478
2.9,0.993147891964363,0.998563676597259,0.995156130315284,0.999986023447089,0.999670743142433,0.998035040172356
3,0.992912451650566,0.998498151356284,0.994989172726629,0.999983992989782,0.999650911927,0.997952023062101
3.1,0.992677067151358,0.998431934673142,0.994822220003328,0.999981764749752,0.999630595862986,0.997868393980826
3.2,0.992441738453507,0.998365042101368,0.994655272149125,0.999979328920071,0.999609799357772,0.997784168458021
3.3,0.992206465543785,0.998297488376518,0.994488329167763,0.999976675746956,0.999588526644187,0.997699361158459
3.4,0.991971248408967,0.998229287482996,0.994321391062985,0.999973795540972,0.999566781792729,0.997613985955295
3.5,0.991736087035829,0.998160452713595,0.994154457838533,0.999970678687129,0.999544568722581,0.997528055995011
3.6,0.991500981411154,0.998090996722746,0.993987529498152,0.999967315653964,0.999521891211596,0.997441583755324
3.7,0.991265931521724,0.998020931574291,0.993820606045584,0.99996369700167,0.999498752905355,0.997354581096985
3.8,0.991030937354327,0.997950268784477,0.993653687484575,0.99995981338937,0.999475157325419,0.997267059310276
3.9,0.990795998895754,0.997879019360765,0.993486773818867,0.999955655581597,0.99945110787686,0.997179029156861
4,0.990561116132798,0.997807193836959,0.993319865052206,0.999951214454045,0.999426607855154,0.997090500907573
4.1,0.990326289052255,0.997734802305087,0.993152961188335,0.999946480998645,0.999401660452502,0.997001484376614
4.2,0.990091517640925,0.997661854444402,0.992986062230999,0.999941446328031,0.999376268763643,0.996911988952593
4.3,0.989856801885611,0.997588359547836,0.992819168183943,0.999936101679445,0.999350435791209,0.996822023626772
4.4,0.989622141773118,0.997514326546174,0.992652279050912,0.999930438418116,0.999324164450664,0.996731597018808
4.5,0.989387537290256,0.997439764030202,0.992485394835652,0.999924448040176,0.999297457574878,0.996640717400286
4.6,0.989152988423837,0.997364680271032,0.992318515541908,0.999918122175132,0.999270317918364,0.99654939271627
4.7,0.988918495160677,0.997289083238793,0.992151641173425,0.999911452587945,0.999242748161204,0.99645763060508
4.8,0.988684057487593,0.99721298061986,0.991984771733949,0.999904431180744,0.999214750912705,0.996365438416462
4.9,0.988449675391407,0.997136379832744,0.991817907227227,0.999897049994205,0.999186328714804,0.996272823228347
5,0.988215348858944,0.997059288042799,0.991651047657004,0.999889301208629,0.999157484045241,0.996179791862289
5.1,0.987981077877032,0.996981712175827,0.991484193027028,0.999881177144734,0.999128219320519,0.996086350897751
5.2,0.987746862432502,0.996903658930712,0.991317343341044,0.999872670264202,0.999098536898679,0.995992506685324
5.3,0.987512702512187,0.996825134791144,0.9911504986028,0.999863773169987,0.999068439081897,0.995898265358979
